algorithm,scenario,run,coverage,active_drones,total_drones,original_drones,execution_time,energy_efficiency,target_achieved,timestamp,max_iterations,iterations_used,early_stop_target,convergence_threshold,stagnation_limit,converged,early_stopped,coverage_plot_path
standard_mrfo,challenging_small_radius,2,37.44,15,20,20,1.3864364624023438,25.0,False,2025-09-08T19:59:15.833468,500,490,95,0.4,50,False,False,results/comprehensive_experiment_20250908_195332\coverage_plots\standard_mrfo_challenging_small_radius_run2_coverage.png
standard_mrfo,efficiency_test,2,83.32000000000001,12,12,12,1.4644949436187744,0.0,False,2025-09-08T19:59:18.467322,500,54,95,0.4,50,True,False,results/comprehensive_experiment_20250908_195332\coverage_plots\standard_mrfo_efficiency_test_run2_coverage.png
standard_mrfo,parallel_processing_test,2,52.959999999999994,15,25,25,1.278693675994873,40.0,False,2025-09-08T19:59:21.103711,500,423,95,0.4,50,False,False,results/comprehensive_experiment_20250908_195332\coverage_plots\standard_mrfo_parallel_processing_test_run2_coverage.png
staged_greedy,small_area_few_drones,2,61.919999999999995,5,5,5,1.1938743591308594,0.0,False,2025-09-08T19:59:23.566671,500,324,95,0.4,50,True,False,results/comprehensive_experiment_20250908_195332\coverage_plots\staged_greedy_small_area_few_drones_run2_coverage.png
staged_greedy,medium_area_standard,2,65.8,15,15,15,1.3030352592468262,0.0,False,2025-09-08T19:59:26.221521,500,406,95,0.4,50,False,False,results/comprehensive_experiment_20250908_195332\coverage_plots\staged_greedy_medium_area_standard_run2_coverage.png
staged_greedy,large_area_many_drones,2,73.56,30,30,30,1.5881197452545166,0.0,False,2025-09-08T19:59:29.121875,500,389,95,0.4,50,True,False,results/comprehensive_experiment_20250908_195332\coverage_plots\staged_greedy_large_area_many_drones_run2_coverage.png
staged_greedy,challenging_small_radius,2,43.16,20,20,20,1.8162236213684082,0.0,False,2025-09-08T19:59:32.211337,500,186,95,0.4,50,True,False,results/comprehensive_experiment_20250908_195332\coverage_plots\staged_greedy_challenging_small_radius_run2_coverage.png
staged_greedy,efficiency_test,2,88.36,10,11,12,1.1794464588165283,9.090909090909093,False,2025-09-08T19:59:34.530608,500,497,95,0.4,50,False,False,results/comprehensive_experiment_20250908_195332\coverage_plots\staged_greedy_efficiency_test_run2_coverage.png
staged_greedy,parallel_processing_test,2,56.599999999999994,24,24,25,1.320223331451416,0.0,False,2025-09-08T19:59:37.229843,500,198,95,0.4,50,True,False,results/comprehensive_experiment_20250908_195332\coverage_plots\staged_greedy_parallel_processing_test_run2_coverage.png
staged_genetic,small_area_few_drones,2,88.92,5,5,5,1.1833858489990234,0.0,True,2025-09-08T19:59:39.944888,500,483,95,0.4,50,False,False,results/comprehensive_experiment_20250908_195332\coverage_plots\staged_genetic_small_area_few_drones_run2_coverage.png
staged_genetic,medium_area_standard,2,61.88,13,15,15,1.1549158096313477,13.33333333333333,False,2025-09-08T19:59:42.266651,500,125,95,0.4,50,True,False,results/comprehensive_experiment_20250908_195332\coverage_plots\staged_genetic_medium_area_standard_run2_coverage.png
staged_genetic,large_area_many_drones,2,66.52,28,28,30,3.006812334060669,0.0,False,2025-09-08T19:59:47.642564,500,252,95,0.4,50,True,False,results/comprehensive_experiment_20250908_195332\coverage_plots\staged_genetic_large_area_many_drones_run2_coverage.png
staged_genetic,challenging_small_radius,2,44.2,18,18,20,1.7718825340270996,0.0,False,2025-09-08T19:59:50.765549,500,396,95,0.4,50,True,False,results/comprehensive_experiment_20250908_195332\coverage_plots\staged_genetic_challenging_small_radius_run2_coverage.png
staged_genetic,efficiency_test,2,77.56,11,11,12,1.2114036083221436,0.0,False,2025-09-08T19:59:53.602844,500,98,95,0.4,50,True,False,results/comprehensive_experiment_20250908_195332\coverage_plots\staged_genetic_efficiency_test_run2_coverage.png
staged_genetic,parallel_processing_test,2,57.56,20,24,25,1.2282094955444336,16.666666666666664,False,2025-09-08T19:59:56.538429,500,219,95,0.4,50,True,False,results/comprehensive_experiment_20250908_195332\coverage_plots\staged_genetic_parallel_processing_test_run2_coverage.png
staged_pso,small_area_few_drones,2,75.68,4,5,5,1.3060963153839111,19.999999999999996,False,2025-09-08T19:59:59.038770,500,90,95,0.4,50,True,False,results/comprehensive_experiment_20250908_195332\coverage_plots\staged_pso_small_area_few_drones_run2_coverage.png
staged_pso,medium_area_standard,2,40.28,9,15,15,1.1069700717926025,40.0,False,2025-09-08T20:00:01.197192,500,87,95,0.4,50,True,False,results/comprehensive_experiment_20250908_195332\coverage_plots\staged_pso_medium_area_standard_run2_coverage.png
staged_pso,large_area_many_drones,2,57.52,26,29,30,1.3688087463378906,10.344827586206895,False,2025-09-08T20:00:03.907690,500,226,95,0.4,50,True,False,results/comprehensive_experiment_20250908_195332\coverage_plots\staged_pso_large_area_many_drones_run2_coverage.png
staged_pso,challenging_small_radius,2,31.119999999999997,13,18,20,1.2766928672790527,27.77777777777778,False,2025-09-08T20:00:06.574539,500,269,95,0.4,50,True,False,results/comprehensive_experiment_20250908_195332\coverage_plots\staged_pso_challenging_small_radius_run2_coverage.png
staged_pso,efficiency_test,2,79.92,11,12,12,1.1457948684692383,8.333333333333337,False,2025-09-08T20:00:08.827302,500,305,95,0.4,50,True,False,results/comprehensive_experiment_20250908_195332\coverage_plots\staged_pso_efficiency_test_run2_coverage.png
staged_pso,parallel_processing_test,2,62.68,23,23,25,1.3156037330627441,0.0,False,2025-09-08T20:00:11.575787,500,492,95,0.4,50,False,False,results/comprehensive_experiment_20250908_195332\coverage_plots\staged_pso_parallel_processing_test_run2_coverage.png
staged_sa,small_area_few_drones,2,66.8,5,5,5,1.132859468460083,0.0,False,2025-09-08T20:00:14.064288,500,161,95,0.4,50,True,False,results/comprehensive_experiment_20250908_195332\coverage_plots\staged_sa_small_area_few_drones_run2_coverage.png
staged_sa,medium_area_standard,2,69.67999999999999,13,15,15,1.875406265258789,13.33333333333333,False,2025-09-08T20:00:17.049731,500,420,95,0.4,50,False,False,results/comprehensive_experiment_20250908_195332\coverage_plots\staged_sa_medium_area_standard_run2_coverage.png
staged_sa,large_area_many_drones,2,64.48,26,30,30,1.4440276622772217,13.33333333333333,False,2025-09-08T20:00:19.642673,500,418,95,0.4,50,False,False,results/comprehensive_experiment_20250908_195332\coverage_plots\staged_sa_large_area_many_drones_run2_coverage.png
staged_sa,challenging_small_radius,2,33.32,14,20,20,1.085810661315918,30.000000000000004,False,2025-09-08T20:00:21.957699,500,419,95,0.4,50,False,False,results/comprehensive_experiment_20250908_195332\coverage_plots\staged_sa_challenging_small_radius_run2_coverage.png
staged_sa,efficiency_test,2,79.4,9,12,12,1.19917893409729,25.0,False,2025-09-08T20:00:24.181069,500,261,95,0.4,50,True,False,results/comprehensive_experiment_20250908_195332\coverage_plots\staged_sa_efficiency_test_run2_coverage.png
staged_sa,parallel_processing_test,2,56.36,20,24,25,1.1058979034423828,16.666666666666664,False,2025-09-08T20:00:26.499833,500,69,95,0.4,50,True,False,results/comprehensive_experiment_20250908_195332\coverage_plots\staged_sa_parallel_processing_test_run2_coverage.png
staged_ga_sa,small_area_few_drones,2,60.12,5,5,5,1.0292150974273682,0.0,False,2025-09-08T20:00:28.736857,500,463,95,0.4,50,False,False,results/comprehensive_experiment_20250908_195332\coverage_plots\staged_ga_sa_small_area_few_drones_run2_coverage.png
staged_ga_sa,medium_area_standard,2,59.760000000000005,13,13,15,1.5246543884277344,0.0,False,2025-09-08T20:00:31.308164,500,441,95,0.4,50,False,False,results/comprehensive_experiment_20250908_195332\coverage_plots\staged_ga_sa_medium_area_standard_run2_coverage.png
staged_ga_sa,large_area_many_drones,2,72.92,30,30,30,1.3503835201263428,0.0,False,2025-09-08T20:00:33.734176,500,234,95,0.4,50,True,False,results/comprehensive_experiment_20250908_195332\coverage_plots\staged_ga_sa_large_area_many_drones_run2_coverage.png
staged_ga_sa,challenging_small_radius,2,44.64,18,18,20,1.0301225185394287,0.0,False,2025-09-08T20:00:35.891370,500,375,95,0.4,50,True,False,results/comprehensive_experiment_20250908_195332\coverage_plots\staged_ga_sa_challenging_small_radius_run2_coverage.png
staged_ga_sa,efficiency_test,2,91.36,11,11,12,1.1744754314422607,0.0,False,2025-09-08T20:00:38.078137,500,429,95,0.4,50,False,False,results/comprehensive_experiment_20250908_195332\coverage_plots\staged_ga_sa_efficiency_test_run2_coverage.png
staged_ga_sa,parallel_processing_test,2,63.4,20,25,25,1.0123367309570312,19.999999999999996,False,2025-09-08T20:00:40.151320,500,233,95,0.4,50,True,False,results/comprehensive_experiment_20250908_195332\coverage_plots\staged_ga_sa_parallel_processing_test_run2_coverage.png
staged_gwo,small_area_few_drones,2,66.92,4,5,5,1.2732665538787842,19.999999999999996,False,2025-09-08T20:00:42.604569,500,171,95,0.4,50,True,False,results/comprehensive_experiment_20250908_195332\coverage_plots\staged_gwo_small_area_few_drones_run2_coverage.png
